Date,Open,High,Low,Close,Adj Close,Volume
2021-01-21,5660.270020,5665.979980,5589.799805,5590.790039,5590.790039,87605000
2021-01-22,5568.879883,5573.709961,5511.439941,5559.569824,5559.569824,89454700
2021-01-25,5579.729980,5584.399902,5453.240234,5472.359863,5472.359863,103153900
2021-01-26,5473.250000,5555.279785,5471.089844,5523.520020,5523.520020,84017800
2021-01-27,5517.529785,5545.450195,5401.430176,5459.620117,5459.620117,123358200
2021-01-28,5407.740234,5525.950195,5379.220215,5510.520020,5510.520020,113180800
2021-01-29,5421.529785,5474.799805,5399.209961,5399.209961,5399.209961,109393800
2021-02-01,5441.430176,5481.669922,5429.779785,5461.680176,5461.680176,75051100
2021-02-02,5510.620117,5574.770020,5509.240234,5563.109863,5563.109863,92321700
2021-02-03,5610.589844,5626.410156,5554.089844,5563.049805,5563.049805,81321400
2021-02-04,5568.390137,5613.950195,5566.580078,5608.540039,5608.540039,84653400
2021-02-05,5638.740234,5673.029785,5627.839844,5659.259766,5659.259766,90026000
2021-02-08,5688.680176,5714.279785,5673.629883,5686.029785,5686.029785,75598300
2021-02-09,5703.529785,5703.529785,5674.430176,5691.540039,5691.540039,74734600
2021-02-10,5719.319824,5719.319824,5647.279785,5670.799805,5670.799805,80605800
2021-02-11,5684.939941,5692.000000,5656.799805,5669.819824,5669.819824,85822100
2021-02-12,5651.669922,5705.020020,5627.990234,5703.669922,5703.669922,74872400
2021-02-15,5732.299805,5801.379883,5722.160156,5786.250000,5786.250000,95598000
2021-02-16,5796.430176,5797.919922,5768.959961,5786.529785,5786.529785,69738200
2021-02-17,5762.009766,5790.270020,5752.850098,5765.839844,5765.839844,89772300
2021-02-18,5757.750000,5779.009766,5720.580078,5728.330078,5728.330078,95205800
2021-02-19,5737.189941,5784.899902,5733.839844,5773.549805,5773.549805,95515600
2021-02-22,5737.470215,5776.640137,5703.479980,5767.439941,5767.439941,83870900
2021-02-23,5781.240234,5804.899902,5721.919922,5779.839844,5779.839844,0
2021-02-24,5769.209961,5804.140137,5758.299805,5797.979980,5797.979980,83298700
2021-02-25,5824.720215,5834.359863,5783.890137,5783.890137,5783.890137,99039600
2021-02-26,5715.689941,5768.029785,5688.259766,5703.220215,5703.220215,126426700
2021-03-01,5770.890137,5804.350098,5765.799805,5792.790039,5792.790039,83783600
2021-03-02,5774.620117,5835.740234,5773.520020,5809.729980,5809.729980,78464500
2021-03-03,5841.200195,5871.430176,5788.660156,5830.060059,5830.060059,91437400
2021-03-04,5800.729980,5844.689941,5797.669922,5830.649902,5830.649902,96687500
2021-03-05,5794.479980,5837.549805,5755.600098,5782.649902,5782.649902,99553700
2021-03-08,5822.919922,5912.500000,5799.049805,5902.990234,5902.990234,0
2021-03-09,5903.259766,5937.810059,5895.330078,5924.970215,5924.970215,98009300
2021-03-10,5915.169922,5993.629883,5912.350098,5990.549805,5990.549805,84108900
2021-03-11,6004.160156,6033.759766,5995.410156,6033.759766,6033.759766,85660900
2021-03-12,6030.629883,6046.549805,6017.410156,6046.549805,6046.549805,72235700
2021-03-15,6069.089844,6089.200195,6018.549805,6035.970215,6035.970215,78751000
2021-03-16,6050.399902,6061.189941,6034.759766,6055.430176,6055.430176,846600
2021-03-17,6048.310059,6062.359863,6037.250000,6054.819824,6054.819824,806600
2021-03-18,6076.209961,6082.919922,6044.319824,6062.790039,6062.790039,91171900
